Listing cat.,Major group,Scientific name,Common name,Type of non-nativity of English population,Pathway of introduction,Pathway details,Native range (continent),Native range (area),Comments,References,Place first record outside captivity or cultivation,Date of introduction (1),Date of introduction (2),Date first wild report,Persistence in wild,Distr_NE_CN,Distr_NW_SN,Distr_Yo_EC,Distr_EM_WC,Distr_WM_BC,Distr_EE_NC,Distr_SE_SC,Distr_SW_IS,Distr_Lo,English as proportion,Habitat 1,Habitat 2,Habitat 3,Habitat 4,Current trend,Direct economic value,Economic impact,Modeofeconimpact,Conservation status,Environmental impact,Modeofenvironimpact,Population trend (20 yr),Control methods,Other info,BRC number,NBN system number,Date1,Date2,Date3,Date,Compiler,Institution
A,15,Marenzelleria viridis,polychaete,I,T,Probably transported as larvae and/or adults in ballast water,NAm,,"The biology of this species has been studied in the Tay estuary in Britain and various sites in mainland Europe, including the Ems estuary",Atkins et al. (1987); Bastrop et al. (1995),Humber (Ivb),1982,1984,1984,E,CN,SN,,,,,,,,0,A2,A5,,,0,0,0,,0,0,,0,0,,,NBNSYS0000183915,1982,1984,1984,1984,IL,CEFAS
A,15,Pileolaria berkeleyana,polychaete,I,T,Probably ship-assisted.,As,"Japan, Kamchatka Peninsula",Has been recorded only through the monitoring of the non-native alga Sargassum muticum. It is likely that this species has spread more widely than the introduced Janua brasiliensis.,Knight-Jones et al. (1975); Zibrowius & Thorp (1989); Thorp et al. (1986),Portsmouth Harbour (VIId),1974,,1974,E,,,EC,WC,,,,,,0,A3,J5,,,0,0,0,,0,0,,0,0,,,NBNSYS0000185683,1974,,1974,1974,IL,CEFAS
A,17,Tricellaria inopinata,na (bryozoan),I,T,Probably ship-assisted.,"As, NAm",Pacific,,Dyrynda et al.(2000),South coast,1998,,1998,E,,,EC,WC,,,,,,0,A5,,,,0,0,0,,0,0,,0,0,bryozoan,,,1998,,1998,1998,IL,CSL
A,18,Perophora japonica,na (sea squirt),N,T,,Unk,,,http://www.marlin.ac.uk,Plymouth,1999,,,P,,,,,,,,SW,,0,,,,,0,0,0,,0,0,,nd,0,tunicate,,NBNSYS0000185515,1999,,,1999,JRE,CEFAS
A,18,Styela clava,Leathery sea squirt,N,T,"Accidentally transported, probably on ships hulls",As,Korea to Russia,,Eno et al. (1997),Plymouth,1952,1953,,E,,,,,,,SE,SW,,0,,,,,G,0,0,,0,0,,nd,0,tunicate,,NBNSYS0000178204,1952,1953,,1953,JRE,CEFAS
A,19,Bonamia ostreae,protist,I,T,Through movement of oysters and possibily through fouling organisms/ballast water transfer,NAm,USA,Parasite of flat oysters (Ostrea edulis),Renault (1996),"Fal and Helford rivers, Cornwall",1970,1979,1985C,E,,,,,,EE,SE,SW,,0,A1,,,,0,2,NN,P,0,N,P,ND,D,protist,,,1970,1979,1985,1979,ML,CEFAS
A,31,Agardhiella subulata,,I,T,Introduced accidentally with shellfish,Unk,Probably Pacific or Eastern USA,Sporodic in occurrence and spreading only slowly and gradually,Eno et al. (1997),Solent,,,1973,E,,,,,,,SE,,,,A1?,,,,0,0,0,,0,0,,0,0,,0714 60001,NBNSYS0000178890,,,1973,1973,CDP,BRC
A,31,Anotrichium furcellatum,,I,U,,,,,Hardy & Guiry (2003),,,,1985C,E,,,,,,,,SW,,,A2,A5,,,nd,0,0,,0,0,,nd,0,,,NBNSYS0000179220,,,1985,1985,CDP,BRC
A,31,Antithamnionella spirographidis,,I,T,Accidentally introduced from Mediterranean where already established,,North Pacific,There has been taxonomic confusion with A. ternifolia,Westbrook (1934); Maggs & Hommersand (1993); Hardy & Guiry (2003),Devonport Dockyard (3),,,1931,E,,,,,,,SE,SW,,,A1,A3,,,nd,0,0,,0,0,,nd,0,,,NBNSYS0000173869,,,1931,1931,CDP,BRC
A,31,Antithamnionella ternifolia,,I,T,Possibly introduced on ships' hulls or ropes,,S hemisphere,"Not mapped in England by Hardy & Guiry (2003); Maggs & Hommersand say ""widely distributed on south and west coasts, northwards to Argyll, rarely recorded from east coasts (e.g. Berwick)""",Maggs & Hommersand (1993); Eno et al. (1997),Plymouth (3),,,1906,E,,,,,,,,SW,,,A1,A3,,,G,0,0,,0,0,,nd,0,,,NBNSYS0000179255,,,1906,1906,CDP,BRC
A,31,Asparagopsis armata,Harpoon weed,I,D,Spread from alien populations already established in Europe,Aus,,Both phases of life cycle may have spread independently by vegetative reproduction,Dixon & Irvine (1977); Eno et al. (1997); Farnham (1980); Hardy & Guiry (2003),Lundy (4),,,1949,E,,,,,,,SE,SW,,,A1,A3,,,0,0,0,,0,0,,0,0,,0714 14801,NBNSYS0000188771,,,1949,1949,CDP,BRC
A,31,Bonnemaisonia hamifera,,I,T,Probably introduced accidentally with shellfish,As,Japan (Pacific Ocean),First record applies to filamentous Trailliella phase; sporophytes recorded in 1893 at Falmouth (1). Trailliella phase spread more rapidly.,Westbrook (1930); Dixon & Irvine (1977); Farnham (1980); Eno et al. (1997); Hardy & Guiry (2003),Isle of Wight (10),,,1890,E,NE,,,,,,SE,SW,,,A1,,,,0,0,0,,0,0,,0,0,,0714 15303,NBNSYS0000174167,,,1890,1890,CDP,BRC
A,31,Cryptonemia hibernica,,I,U,,,Pacific Ocean,"Member of a taxonomic complex from E Pacific, known from England only on basis of a single specimen",Hardy & Guiry (2003),,,2000,,C?,,,,,,,,SW,,,A3,,,,nd,0,0,,0,0,,nd,0,,0714 18002,NBNSYS0000180891,,2000,,2000,CDP,BRC
A,31,Grateloupia filicina var. luxurians,,I,D,Perhaps spread from France where introduced with shellfish,"As, Aus","An Atlantic and Pacific species; Eno et al suggest introduced from Japan, Hardy & Guiry suggest Australia",The smaller var. filicina is native,Irvine (1983); Eno et al. (1997); Hardy & Guiry (2003),Bembridge (10),,,1947,E,,,,,,,SE,SW,,,,,,,0,0,0,,0,0,,0,0,,,,,,1947,1947,CDP,BRC
A,31,Grateloupia turuturu,,I,T,Perhaps introduced with shellfish,Unk,,Recorded by Eno et al. (1997) as Grateloupia doryphora,Eno et al. (1997); Hardy & Guiry (2003),Southsea (11),,,1969,E,,,,,,,SE,SW,,,A5,,,,G,0,0,,0,0,,G,0,,,,,,1969,1969,CDP,BRC
A,31,Pikea californica,Captain Pike's weed,I,T,Has been suggested that arrived in World War II on flying boats!,NAm,Western N America,Dominant in wave-exposed habitats on lower shore,Maggs & Guiry (1987); Eno et al. (1997); Hardy & Guiry (2003),"St Agnes, Isles of Scilly (1)",,,1967,E,,,,,,,,SW,,,A1,,,,0,0,0,,0,0,,0,0,,0714 60501,NBNSYS0000188783,,,1967,1967,CDP,BRC
A,31,Polysiphonia harveyi,,I,D,"Introduced to Europe with oysters, probably from Japan",As,Pacific Ocean,,Eno et al. (1997); Hardy & Guiry (2003),,,,1908,E,,,,,,EE,,SW,,,A1,A2,A3,,nd,0,0,,0,N,C,nd,0,,,NBNSYS0000185908,,,1908,1908,CDP,BRC
A,31,Solieria chordalis,,I,T,Introduced from alien population in France,,,Sexual populations not known in England; spreads asexually,Eno et al. (1997); Hardy & Guiry (2003),"Falmouth Harbour (1), the Fleet and Weymouth Bay (9)",,,1976,E,,,,,,,,SW,,,A1,A2,A3,,0,0,0,,0,0,,0,0,,0714 60701,NBNSYS0000178025,,,1976,1976,CDP,BRC
A,32,Colpomenia peregrina,Oyster thief,I,D,"Spread from alien population in France, where it was introduced with oysters",Wid,Pacific Ocean,,Cotton (1908); Farnham (1980); Fletcher (1987); Eno et al. (1997); Hardy & Guiry (2003),Torquay (3) and Swanage (9),,,1907,E,NE,,,,,(EE),SE,SW,,,A1,A3,,,0,0,0,,0,0,,0,0,,0713  6201,NBNSYS0000174664,,,1907,1907,CDP,BRC
A,32,Sargassum muticum,Jap weed,I,D,Spread from alien populations in France,As,"China, Japan (Pacific Ocean)",,Eno et al. (1997),"Bembridge, Isle of Wight (10)",,,1971,E,,,,,,EE,SE,SW,,,A1,A3,,,G,0,NN,A,0,N,C,G,D,,0713 50101,NBNSYS0000188809,,,1971,1971,CDP,BRC
A,33,Codium fragile ssp. atlanticum,Green sea fingers,I,D,Spread from Ireland where introduced with shellfish,As,Japan (Pacific Ocean),,Farnham (1980); Burrows (1991); Eno et al. (1997); Hardy & Guiry (2003),Ayrshire (75),,,1839,E,NE,,,,,,SE,SW,,,A1,A3,,,0,0,0,,0,0,,0,0,,,,,,1839,1839,CDP,BRC
A,33,Codium fragile ssp. tomentosoides,Green sea fingers,I,D,First recorded in Europe in Holland in 1900,As,Pacific Ocean,,Farnham (1980); Burrows (1991); Eno et al. (1997); Hardy & Guiry (2003),"Steer Point, River Yealm (3)",,,1939,E,,,,,,,SE,SW,,,A1,A3,,,0,0,N,C,0,0,,0,0,,,,,,1939,1939,CDP,BRC
A,33,Undaria pinnatifida,Japanese kelp,I,T,Initially introduced accidentally then deliberately to France; spread from there on ships' hulls,As,W coast Japan,"An edible species, though not exploited in England. Reproduces sexually and capable of rapid spread. Mainly on floating pontoons.",Eno et al. (1997); Hardy & Guiry (2003),Hamble estuary (11),,,1994,E,,,,,,,SE,SW,,,A3,,,,G,0,0,,0,N,C,G,D,,,NBNSYS0000188802,,,1994,1994,CDP,BRC
A,35,Coscinodiscus wailesiiÊ,diatom,I,T,Possibly introduced in ballast water,"As, Afr, NAm, SAm",Indian and Pacific Oceans,It can reach high numbers and produce copious mucilage which can accumulate and blanket the seabed. Fishing trawls may become clogged or broken by heavy grey slime.,Laing & Gollasch (2002),Plymouth (VIIe),1950,1977,1977,E,CN,SN,EC,WC,,,,,,,A7,,,,0,0,N,C,0,N,C,0,0,diatom,,,1950,1977,1977,1977,IL,CEFAS
A,35,Gymnodinium mikimotoi,dinoflagellate,N,T,Possibly introduced in ballast water,NAm,,"A toxic dinoflagellate species, formerly called Gyrodinium cf aureolum",Smayda (1990),Plymouth (VIIe),1966,1968,1968,E,CN,SN,EC,WC,BC,NC,SC,IS,,,A7,A5,,,0,0,N,D,0,0,,0,0,Dinophyceae,,,1966,1968,1968,1968,IL,CEFAS
